YouTube ID	Title
LhTS_RSQxw4	True Stories
E5Y4rNBCLaU	The 11th Hour
D-In3mEfBxg	The Wind and the Lion
Ow6F8KUZ_qo	Crossing Delancey
kFT2kd7ulN0	The Bonfire of the Vanities
9J8XaQv9A0E	Oh, God!
lgwSjaVkQXU	Deal of the Century
8pLZisKo3pc	Hollywoodland
LWkW64ydcAM	Wet Hot American Summer
NlNPsO4VjSI	Beguiled, The
s2iAPJITLbU	Inside Man ('06)
qwd9nl6OYwk	Monsieur Lazhar
OJGPAGoSNdM	Mutiny on the Bounty
jAyg_ENvHzc	The Science of Sleep
kdcpucIogK4	If Beale Street Could Talk
j7qKG4Vc5Tk	Shaun of the Dead
X42yOL5Ah4E	Murder in the First
31_vHHPNdGg	Cats
_l5Uaqw4x6E	Fletch Lives
mHtIEP48_xw	The Accidental Tourist
LSiNyASh1mI	Antwone Fisher
PHD42R6jzRE	Dr. Dolittle
maaU86zXNR8	The Commitments
iSXohhur5Y4	A Walk In The Clouds
iyo17WToiiU	History of the World, Part I
jINKckq_ua0	The Year of Living Dangerously
sC_1LEdmUII	City Heat with Clint Eastwood and Burt Reynolds
dJoO6pOv6Ps	SubUrbia
WVGU5OyYPY0	Don't Be A Menace to South Central While Drinking Your Juice in the Hood
Tpp1sg-U6eo	All The King's Men
TE0bQ4Fjbms	Waiting for Guffman
1Dd0JDQkG50	Poltergeist II: The Other Side
b3hzMz2hp8U	Max
foutPlFx3MY	Michael Collins
SeUvyzo6k5c	Sniper
mVG15XDVO0I	Red Rock West
iQJUkASxCuA	American Hustle
XP2ZYDGHptQ	Away We Go
M2E-7PPJ26c	The Good Thief
3fNxiN80YGk	Down and Out in Beverly Hills
6_BUIFi3YHE	Backdraft
cKhX3YIEp1I	The Expendables
-wAtJxFOCOU	Escape From Alcatraz
TMUaY609iYc	Happy Gilmore
wC7G4Ghj-1k	The Warriors
EzNcyxGicp4	Crazy, Stupid, Love
1VsvuaUl4jI	The Gods Must Be Crazy II
PiFlujEF78Y	The Sum of All Fears
